;R 1;AB 1;DTR AB_R_1000;DTR AB_R_2000;DTR AB_R_3000;DTR AB_R_4000;DTR AB_R_5000;DTR QL_10k_R_1000;DTR QL_10k_R_2000;DTR QL_10k_R_3000;DTR QL_10k_R_4000;DTR QL_10k_R_5000;DTR QL_1k_R_1000;DTR QL_1k_R_2000;DTR QL_1k_R_3000;DTR QL_1k_R_4000;DTR QL_1k_R_5000;DTR R_100k;DTR R_R_1000;DTR R_R_2000;DTR R_R_3000;DTR R_R_4000;DTR R_R_5000;QL R10k;QL R20k;QL R30k;QL R40k;QL R50k;QL R60k;QL R70k;QL R80k;QL AB_R 2k;QL AB_R 3k;QL AB_R 4k;QL AB_R 5k;QL AB_R 6k;QL AB_R 7k;QL AB_R 8k;QL AB_R 9k;QL AB_R 10k;[None, None, None]
DTR QL_1k_R_1000;57,8;9,3;33,4;50,6;53,1;51,5;40,2;40,9;48,199999999999996;44,1;45,4;45,9;0;54,7;48,9;46,6;44,3;3,2;65,7;42,4;57,8;34,1;37,5;54,900000000000006;53,800000000000004;56,2;53,1;53,5;56,00000000000001;55,300000000000004;54,7;60,5;56,699999999999996;54,0;55,800000000000004;54,1;54,7;53,900000000000006;58,199999999999996;57,599999999999994;[None, None, None]
DTR QL_1k_R_2000;57,699999999999996;11,0;33,300000000000004;50,5;52,800000000000004;52,1;40,9;44,6;46,800000000000004;43,9;47,4;44,4;48,6;0;50,5;45,5;39,6;3,5999999999999996;64,7;41,9;59,199999999999996;32,300000000000004;39,2;54,800000000000004;56,599999999999994;54,400000000000006;55,900000000000006;54,0;55,7;55,7;53,800000000000004;57,3;56,10000000000001;56,10000000000001;57,3;57,3;55,60000000000001;55,60000000000001;53,7;59,8;[None, None, None]
DTR QL_1k_R_3000;59,099999999999994;10,8;33,4;52,2;54,7;54,2;40,699999999999996;44,6;48,199999999999996;46,0;47,8;46,800000000000004;49,0;56,599999999999994;0;43,9;42,3;2,9000000000000004;65,0;42,8;57,4;33,4;36,0;53,300000000000004;54,2;56,8;56,10000000000001;56,10000000000001;56,8;54,1;55,900000000000006;53,0;54,6;56,39999999999999;55,800000000000004;55,1;55,300000000000004;54,2;55,900000000000006;54,0;[None, None, None]
DTR QL_1k_R_4000;59,199999999999996;11,3;32,2;52,0;53,400000000000006;52,1;40,300000000000004;48,699999999999996;50,3;45,6;47,0;47,099999999999994;50,3;53,7;49,4;0;42,4;2,9000000000000004;64,8;42,3;59,099999999999994;36,1;35,699999999999996;55,50000000000001;54,0;56,39999999999999;54,400000000000006;57,8;58,699999999999996;55,300000000000004;54,400000000000006;57,199999999999996;56,00000000000001;57,8;52,5;56,599999999999994;55,50000000000001;56,89999999999999;53,800000000000004;57,8;[None, None, None]
DTR QL_1k_R_5000;57,3;10,9;33,6;52,6;53,6;51,1;38,800000000000004;45,0;48,199999999999996;46,800000000000004;46,5;47,199999999999996;50,1;54,7;51,300000000000004;48,699999999999996;0;2,9000000000000004;64,60000000000001;41,8;62,2;32,300000000000004;37,5;53,5;53,400000000000006;57,199999999999996;53,400000000000006;57,199999999999996;56,3;54,0;54,1;58,3;53,900000000000006;53,1;55,7;54,400000000000006;57,49999999999999;56,3;54,400000000000006;57,599999999999994;[None, None, None]
DTR R_100k;98,7;77,2;100,0;100,0;100,0;100,0;100,0;98,3;96,89999999999999;97,2;97,89999999999999;98,1;100,0;100,0;100,0;100,0;100,0;0;100,0;100,0;100,0;100,0;100,0;99,0;99,6;98,8;99,5;99,1;99,4;99,3;98,7;99,7;98,9;98,9;98,9;98,5;98,5;98,8;98,4;98,8;[None, None, None]
DTR R_R_1000;58,5;10,2;35,6;49,2;54,400000000000006;52,7;40,0;45,2;50,2;44,2;45,6;46,400000000000006;49,1;57,8;50,3;44,800000000000004;44,6;3,8;0;43,8;59,099999999999994;32,6;39,4;55,400000000000006;53,5;55,00000000000001;56,10000000000001;57,4;57,699999999999996;55,00000000000001;55,60000000000001;56,8;56,699999999999996;55,1;54,1;55,300000000000004;56,00000000000001;54,400000000000006;57,3;57,599999999999994;[None, None, None]
DTR R_R_2000;57,9;8,799999999999999;35,6;51,4;53,1;51,300000000000004;40,300000000000004;47,3;46,300000000000004;47,599999999999994;45,5;46,5;47,3;56,99999999999999;49,2;46,2;40,1;3,3000000000000003;65,10000000000001;0;58,099999999999994;32,6;36,5;54,400000000000006;52,900000000000006;55,60000000000001;56,00000000000001;56,10000000000001;58,8;55,50000000000001;55,900000000000006;58,199999999999996;55,60000000000001;54,2;54,800000000000004;54,800000000000004;55,2;54,0;54,400000000000006;55,60000000000001;[None, None, None]
DTR R_R_3000;57,199999999999996;10,0;32,9;50,7;51,300000000000004;49,5;37,3;47,199999999999996;50,6;43,5;46,0;45,7;50,6;57,3;50,7;48,699999999999996;41,699999999999996;3,9;64,2;42,4;0;32,800000000000004;35,4;55,7;53,800000000000004;56,599999999999994;58,9;56,3;56,3;55,7;55,300000000000004;56,699999999999996;56,00000000000001;56,10000000000001;53,0;53,400000000000006;52,5;53,800000000000004;53,6;57,99999999999999;[None, None, None]
DTR R_R_4000;59,599999999999994;11,700000000000001;36,0;52,1;51,6;53,0;38,1;48,1;47,599999999999994;46,5;49,1;45,0;49,6;56,10000000000001;53,2;45,300000000000004;39,800000000000004;3,5000000000000004;63,9;39,7;59,9;0;41,699999999999996;55,1;54,400000000000006;56,2;59,599999999999994;56,8;55,900000000000006;56,2;56,99999999999999;60,5;56,99999999999999;58,3;54,800000000000004;54,7;52,7;52,900000000000006;56,00000000000001;56,699999999999996;[None, None, None]
DTR R_R_5000;56,00000000000001;12,8;34,4;52,5;52,7;52,0;37,8;46,800000000000004;46,6;45,800000000000004;46,400000000000006;42,9;50,4;56,3;49,1;45,1;37,2;3,6999999999999997;64,0;41,199999999999996;60,199999999999996;33,6;0;55,400000000000006;53,400000000000006;57,3;56,699999999999996;57,3;58,4;56,10000000000001;55,400000000000006;58,3;55,900000000000006;59,4;56,8;53,400000000000006;52,2;54,400000000000006;56,699999999999996;53,300000000000004;[None, None, None]
QL R10k;60,9;7,5;47,5;49,5;53,5;49,7;39,4;49,1;39,7;35,199999999999996;48,8;46,1;100,0;100,0;100,0;0,0;0,0;0,0;45,800000000000004;100,0;0,0;0,0;100,0;0;64,4;65,60000000000001;54,900000000000006;62,2;64,3;66,0;64,1;64,9;63,7;63,9;63,5;60,9;64,60000000000001;63,1;64,0;65,4;[None, None, None]
QL R20k;55,800000000000004;9,4;14,000000000000002;0,0;0,0;0,0;24,2;24,5;27,400000000000002;0,0;12,3;13,700000000000001;92,80000000000001;24,3;100,0;0,0;0,0;0,0;100,0;0,0;100,0;100,0;24,099999999999998;52,300000000000004;0;56,99999999999999;54,1;54,7;54,300000000000004;53,6;54,2;55,800000000000004;53,7;57,8;54,400000000000006;50,6;53,7;55,50000000000001;79,3;54,0;[None, None, None]
